Unable to load module hid, required to interface with SpaceMouse.

           Only macOS is officially supported. Install the additional

           requirements with `pip install -r requirements-extra.txt`
v: 0.13323915392872007, marker: Flat_top_site_4, dist: -7.438456357663359e-05, 
v: 0.18323913230079586, marker: Flat_top_site_5, dist: -8.731412939329833e-05, 
v: 0.23323911994572433, marker: Flat_top_site_6, dist: -0.00010024369520996308, 
v: 0.28323911195271634, marker: Flat_top_site_7, dist: -0.00011317326102662783, 
v: 0.33323910635828863, marker: Flat_top_site_8, dist: -0.00012610282684329257, 
v: 0.018216759268350816, marker: Flat_top_site_1, dist: -2.1898197001667745e-05, 
v: 0.031783375807625934, marker: Flat_top_site_2, dist: -4.1283899631971895e-05, 
v: 0.08178334572036361, marker: Flat_top_site_3, dist: -6.066960226227603e-05, 
v: 0.13178333846395093, marker: Flat_top_site_4, dist: -8.005530489258016e-05, 
v: 0.18178333519933004, marker: Flat_top_site_5, dist: -9.94410075228843e-05, 
v: 0.2317833333431887, marker: Flat_top_site_6, dist: -0.00011882671015318844, 
v: 0.28178333214575957, marker: Flat_top_site_7, dist: -0.00013821241278349258, 
v: 0.3317833313092374, marker: Flat_top_site_8, dist: -0.00015759811541379672, 
v: 0.019594275309994316, marker: Flat_top_site_1, dist: -1.3836749345132028e-05, 
v: 0.030405832674779514, marker: Flat_top_site_2, dist: -3.8204329598787684e-05, 
v: 0.0804058063597992, marker: Flat_top_site_3, dist: -6.257190985244333e-05, 
v: 0.13040580022411719, marker: Flat_top_site_4, dist: -8.693949010609898e-05, 
v: 0.1804057974894798, marker: Flat_top_site_5, dist: -0.00011130707035975463, 
v: 0.23040579594172111, marker: Flat_top_site_6, dist: -0.00013567465061341028, 
v: 0.28040579494593343, marker: Flat_top_site_7, dist: -0.00016004223086706594, 
v: 0.330405794251529, marker: Flat_top_site_8, dist: -0.0001844098111207216, 
v: 0.020898183175698307, marker: Flat_top_site_1, dist: -9.96590628070127e-06, 
v: 0.029102611039044584, marker: Flat_top_site_2, dist: -3.8564328784252135e-05, 
v: 0.07910240121851421, marker: Flat_top_site_3, dist: -6.716275128780298e-05, 
v: 0.12910235392036692, marker: Flat_top_site_4, dist: -9.576117379135386e-05, 
v: 0.17910233303065753, marker: Flat_top_site_5, dist: -0.00012435959629490472, 
v: 0.22910232125901614, marker: Flat_top_site_6, dist: -0.00015295801879845557, 
v: 0.2791023137050539, marker: Flat_top_site_7, dist: -0.00018155644130200642, 
v: 0.3291023084464149, marker: Flat_top_site_8, dist: -0.0002101548638055573, 
v: 0.022135663457161284, marker: Flat_top_site_1, dist: -6.86402321401732e-06, 
v: 0.027866458331210108, marker: Flat_top_site_2, dist: -3.9456493141267963e-05, 
v: 0.07786585518159697, marker: Flat_top_site_3, dist: -7.204896306851858e-05, 
v: 0.12786572373547886, marker: Flat_top_site_4, dist: -0.00010464143299576923, 
v: 0.1778656661911853, marker: Flat_top_site_5, dist: -0.00013723390292301986, 
v: 0.22786563390048645, marker: Flat_top_site_6, dist: -0.0001698263728502705, 
v: 0.2778656132307611, marker: Flat_top_site_7, dist: -0.00020241884277752116, 
v: 0.32786559886536315, marker: Flat_top_site_8, dist: -0.00023501131270477175, 
v: 0.023303160080761758, marker: Flat_top_site_1, dist: -7.758975482079572e-06, 
v: 0.026700904888431527, marker: Flat_top_site_2, dist: -4.386906318801561e-05, 
v: 0.07669966997303525, marker: Flat_top_site_3, dist: -7.997915089395162e-05, 
v: 0.12669940973060603, marker: Flat_top_site_4, dist: -0.00011608923859988767, 
v: 0.1766992967676879, marker: Flat_top_site_5, dist: -0.0001521993263058237, 
v: 0.2266992336341411, marker: Flat_top_site_6, dist: -0.00018830941401175972, 
v: 0.2766991933172526, marker: Flat_top_site_7, dist: -0.00022441950171769574, 
v: 0.3266991653410364, marker: Flat_top_site_8, dist: -0.00026052958942363177, 
v: 0.024413701850328953, marker: Flat_top_site_1, dist: -6.01991497231585e-06, 
v: 0.02559279300029333, marker: Flat_top_site_2, dist: -4.584991148874273e-05, 
v: 0.07559069565148194, marker: Flat_top_site_3, dist: -8.567990800516958e-05, 
v: 0.12559026827184533, marker: Flat_top_site_4, dist: -0.00012550990452159648, 
v: 0.17559008428756218, marker: Flat_top_site_5, dist: -0.00016533990103802332, 
v: 0.22558998186008236, marker: Flat_top_site_6, dist: -0.0002051698975544502, 
v: 0.2755899165991953, marker: Flat_top_site_7, dist: -0.0002449998940708771, 
v: 0.3255898713821892, marker: Flat_top_site_8, dist: -0.0002848298905873039, 
v: 0.025459839536664454, marker: Flat_top_site_1, dist: -7.407207569370114e-06, 
v: 0.024549580757625568, marker: Flat_top_site_2, dist: -5.059035021024151e-05, 
v: 0.07454636410662599, marker: Flat_top_site_3, dist: -9.377349285111288e-05, 
v: 0.1245457301060945, marker: Flat_top_site_4, dist: -0.00013695663549198427, 
v: 0.17454545933309928, marker: Flat_top_site_5, dist: -0.00018013977813285565, 
v: 0.22454530914705184, marker: Flat_top_site_6, dist: -0.00022332292077372704, 
v: 0.2745452136645029, marker: Flat_top_site_7, dist: -0.0002665060634145984, 
v: 0.3245451476023483, marker: Flat_top_site_8, dist: -0.0003096892060554698, 
v: 0.026449198840892394, marker: Flat_top_site_1, dist: -8.817037460454329e-06, 
v: 0.02356355323871351, marker: Flat_top_site_2, dist: -5.534715495257463e-05, 
v: 0.07355896929091861, marker: Flat_top_site_3, dist: -0.00010187727244469492, 
v: 0.12355809518218921, marker: Flat_top_site_4, dist: -0.0001484073899368152, 
v: 0.17355772471128894, marker: Flat_top_site_5, dist: -0.00019493750742893552, 
v: 0.2235575199559795, marker: Flat_top_site_6, dist: -0.0002414676249210558, 
v: 0.2735573900496508, marker: Flat_top_site_7, dist: -0.00028799774241317603, 
v: 0.3235573002926768, marker: Flat_top_site_8, dist: -0.0003345278599052964, 
v: 0.02738244286639626, marker: Flat_top_site_1, dist: -1.1378179399475512e-05, 
v: 0.022634032745549273, marker: Flat_top_site_2, dist: -6.112583700269145e-05, 
v: 0.07262782317625759, marker: Flat_top_site_3, dist: -0.00011087349460590736, 
v: 0.12262667719675388, marker: Flat_top_site_4, dist: -0.00016062115220912327, 
v: 0.17262619506121318, marker: Flat_top_site_5, dist: -0.0002103688098123392, 
v: 0.22262592949229246, marker: Flat_top_site_6, dist: -0.00026011646741555517, 
v: 0.2726257613346587, marker: Flat_top_site_7, dist: -0.000309864125018771, 
v: 0.32262564529853704, marker: Flat_top_site_8, dist: -0.00035961178262198693, 
v: 0.028267421722810927, marker: Flat_top_site_1, dist: -1.199382547040434e-05, 
v: 0.02175306384810225, marker: Flat_top_site_2, dist: -6.515728055676827e-05, 
v: 0.07174499594190513, marker: Flat_top_site_3, dist: -0.00011832073564313218, 
v: 0.12174355464922301, marker: Flat_top_site_4, dist: -0.0001714841907294961, 
v: 0.17174295256153227, marker: Flat_top_site_5, dist: -0.00022464764581586, 
v: 0.2217426219978403, marker: Flat_top_site_6, dist: -0.0002778111009022239, 
v: 0.27174241307974256, marker: Flat_top_site_7, dist: -0.0003309745559885878, 
v: 0.3217422690948857, marker: Flat_top_site_8, dist: -0.00038413801107495173, 
v: 0.02910384840761203, marker: Flat_top_site_1, dist: -1.2473312755561677e-05, 
v: 0.020920939290972707, marker: Flat_top_site_2, dist: -6.907402718371658e-05, 
v: 0.070910770758044, marker: Flat_top_site_3, dist: -0.00012567474161187146, 
v: 0.12090901173272063, marker: Flat_top_site_4, dist: -0.00018227545604002635, 
v: 0.17090828191420823, marker: Flat_top_site_5, dist: -0.0002388761704681812, 
v: 0.22090788246585905, marker: Flat_top_site_6, dist: -0.0002954768848963361, 
v: 0.27090763046513305, marker: Flat_top_site_7, dist: -0.000352077599324491, 
v: 0.32090745699175705, marker: Flat_top_site_8, dist: -0.00040867831375264587, 
v: 0.02988864730391001, marker: Flat_top_site_1, dist: -1.6195160301717223e-05, 
v: 0.02014082664770383, marker: Flat_top_site_2, dist: -7.586471459466205e-05, 
v: 0.07012827217640674, marker: Flat_top_site_3, dist: -0.00013553426888760685, 
v: 0.12012616791874915, marker: Flat_top_site_4, dist: -0.00019520382318055169, 
v: 0.17012530052652028, marker: Flat_top_site_5, dist: -0.0002548733774734965, 
v: 0.22012482717684112, marker: Flat_top_site_6, dist: -0.0003145429317664413, 
v: 0.2701245290602642, marker: Flat_top_site_7, dist: -0.00037421248605938617, 
v: 0.320124324068673, marker: Flat_top_site_8, dist: -0.00043388204035233087, 
v: 0.030636507751808612, marker: Flat_top_site_1, dist: -1.5853039948584065e-05, 
v: 0.01939778803301134, marker: Flat_top_site_2, dist: -7.901892469960436e-05, 
v: 0.069382654560925, marker: Flat_top_site_3, dist: -0.0001421848094506246, 
v: 0.11938019654560658, marker: Flat_top_site_4, dist: -0.00020535069420164488, 
v: 0.1693791896916934, marker: Flat_top_site_5, dist: -0.00026851657895266516, 
v: 0.21937864179076702, marker: Flat_top_site_6, dist: -0.0003316824637036854, 
v: 0.26937829728340906, marker: Flat_top_site_7, dist: -0.0003948483484547057, 
v: 0.3193780606438953, marker: Flat_top_site_8, dist: -0.00045801423320572586, 
v: 0.03133944490274029, marker: Flat_top_site_1, dist: -1.7699927659823423e-05, 
v: 0.01869999499624922, marker: Flat_top_site_2, dist: -8.409675385337063e-05, 
v: 0.0686820123388038, marker: Flat_top_site_3, dist: -0.00015049358004691778, 
v: 0.1186791802506044, marker: Flat_top_site_4, dist: -0.00021689040624046498, 
v: 0.16867802711379837, marker: Flat_top_site_5, dist: -0.00028328723243401216, 
v: 0.21867740129480953, marker: Flat_top_site_6, dist: -0.00034968405862755936, 
v: 0.26867700840060543, marker: Flat_top_site_7, dist: -0.00041608088482110656, 
v: 0.3186767387952043, marker: Flat_top_site_8, dist: -0.0004824777110146537, 
v: 0.032007434146035685, marker: Flat_top_site_1, dist: -1.713877225125195e-05, 
v: 0.0180372895712712, marker: Flat_top_site_2, dist: -8.700340321796121e-05, 
v: 0.06801626121408737, marker: Flat_top_site_3, dist: -0.00015686803418467045, 
v: 0.1180130491259676, marker: Flat_top_site_4, dist: -0.0002267326651513797, 
v: 0.16801174881082906, marker: Flat_top_site_5, dist: -0.00029659729611808893, 
v: 0.21801104493336615, marker: Flat_top_site_6, dist: -0.00036646192708479814, 
v: 0.26801060368463653, marker: Flat_top_site_7, dist: -0.00043632655805150747, 
v: 0.3180103011882922, marker: Flat_top_site_8, dist: -0.0005061911890182167, 
v: 0.03263483334857103, marker: Flat_top_site_1, dist: -1.884088589093872e-05, 
v: 0.017415489477749617, marker: Flat_top_site_2, dist: -9.188255479100364e-05, 
v: 0.06739114333360291, marker: Flat_top_site_3, dist: -0.00016492422369106848, 
v: 0.11738753394577645, marker: Flat_top_site_4, dist: -0.0002379658925911334, 
v: 0.16738608081896003, marker: Flat_top_site_5, dist: -0.0003110075614911983, 
v: 0.21738529614026805, marker: Flat_top_site_6, dist: -0.0003840492303912632, 
v: 0.2673848049236393, marker: Flat_top_site_7, dist: -0.0004570908992913281, 
v: 0.3173844684765044, marker: Flat_top_site_8, dist: -0.000530132568191393, 
v: 0.0332285111681371, marker: Flat_top_site_1, dist: -1.9977449197288878e-05, 
v: 0.016827601949244063, marker: Flat_top_site_2, dist: -9.622229835585464e-05, 
v: 0.06679971871402897, marker: Flat_top_site_3, dist: -0.00017246714751442037, 
v: 0.11679570477198459, marker: Flat_top_site_4, dist: -0.0002487119966729861, 
v: 0.16679409727594013, marker: Flat_top_site_5, dist: -0.00032495684583155193, 
v: 0.21679323125735955, marker: Flat_top_site_6, dist: -0.0004012016949901177, 
v: 0.2667926898397296, marker: Flat_top_site_7, dist: -0.00047744654414868344, 
v: 0.31679231932739366, marker: Flat_top_site_8, dist: -0.0005536913933072491, 
v: 0.033794017544994254, marker: Flat_top_site_1, dist: -1.834048032886333e-05, 
v: 0.016267953073814623, marker: Flat_top_site_2, dist: -9.803819585594636e-05, 
v: 0.06623637197637179, marker: Flat_top_site_3, dist: -0.00017773591138302934, 
v: 0.1162319562253546, marker: Flat_top_site_4, dist: -0.0002574336269101123, 
v: 0.1662301967855215, marker: Flat_top_site_5, dist: -0.00033713134243719536, 
v: 0.2162292510247715, marker: Flat_top_site_6, dist: -0.00041682905796427836, 
v: 0.26622866050467614, marker: Flat_top_site_7, dist: -0.0004965267734913613, 
v: 0.316228256722094, marker: Flat_top_site_8, dist: -0.0005762244890184444, 
v: 0.034323031469002445, marker: Flat_top_site_1, dist: -2.0102280663374606e-05, 
v: 0.015745149729449404, marker: Flat_top_site_2, dist: -0.00010284694341753636, 
v: 0.0657095806620574, marker: Flat_top_site_3, dist: -0.0001855916061716981, 
v: 0.11570474597683571, marker: Flat_top_site_4, dist: -0.0002683362689258598, 
v: 0.16570282886041723, marker: Flat_top_site_5, dist: -0.0003510809316800216, 
v: 0.2157018005096976, marker: Flat_top_site_6, dist: -0.0004338255944341833, 
v: 0.2657011591881112, marker: Flat_top_site_7, dist: -0.000516570257188345, 
v: 0.31570072100754965, marker: Flat_top_site_8, dist: -0.0005993149199425068, 
v: 0.034825513449964, marker: Flat_top_site_1, dist: -2.022228950563167e-05, 
v: 0.015248972440837614, marker: Flat_top_site_2, dist: -0.00010614038632509839, 
v: 0.06520924730396162, marker: Flat_top_site_3, dist: -0.00019205848314456507, 
v: 0.11520399605654758, marker: Flat_top_site_4, dist: -0.00027797657996403175, 
v: 0.165201923356978, marker: Flat_top_site_5, dist: -0.0003638946767834985, 
v: 0.21520081378631595, marker: Flat_top_site_6, dist: -0.00044981277360296517, 
v: 0.2652001226012922, marker: Flat_top_site_7, dist: -0.0005357308704224318, 
v: 0.3151996506996609, marker: Flat_top_site_8, dist: -0.0006216489672418987, 
v: 0.03529954693857471, marker: Flat_top_site_1, dist: -2.085866914547307e-05, 
v: 0.014781449747346768, marker: Flat_top_site_2, dist: -0.00010979990493468019, 
v: 0.06473735010948499, marker: Flat_top_site_3, dist: -0.0001987411407238873, 
v: 0.11473167715048331, marker: Flat_top_site_4, dist: -0.0002876823765130944, 
v: 0.16472944783592106, marker: Flat_top_site_5, dist: -0.0003766236123023015, 
v: 0.21472825670342532, marker: Flat_top_site_6, dist: -0.0004655648480915086, 
v: 0.2647275155125678, marker: Flat_top_site_7, dist: -0.0005545060838807156, 
v: 0.3147270098228329, marker: Flat_top_site_8, dist: -0.0006434473196699228, 
v: 0.03574899911336001, marker: Flat_top_site_1, dist: -2.0760999813318966e-05, 
v: 0.014338615976120855, marker: Flat_top_site_2, dist: -0.00011277563294909734, 
v: 0.06428997494644341, marker: Flat_top_site_3, dist: -0.0002047902660848757, 
v: 0.11428388271807173, marker: Flat_top_site_4, dist: -0.00029680489922065406, 
v: 0.16428149871370676, marker: Flat_top_site_5, dist: -0.00038881953235643237, 
v: 0.21428022724956516, marker: Flat_top_site_6, dist: -0.00048083416549221083, 
v: 0.2642794368857118, marker: Flat_top_site_7, dist: -0.0005728487986279892, 
v: 0.31427889800483355, marker: Flat_top_site_8, dist: -0.0006648634317637674, 
v: 0.036173299529939945, marker: Flat_top_site_1, dist: -2.100374932122016e-05, 
v: 0.013921112455576048, marker: Flat_top_site_2, dist: -0.00011596019075835252, 
v: 0.0638677316421903, marker: Flat_top_site_3, dist: -0.00021091663219548483, 
v: 0.11386121779709225, marker: Flat_top_site_4, dist: -0.00030587307363261716, 
v: 0.16385867902358703, marker: Flat_top_site_5, dist: -0.00040082951506974945, 
v: 0.21385732735745336, marker: Flat_top_site_6, dist: -0.0004957859565068818, 
v: 0.2638564879581152, marker: Flat_top_site_7, dist: -0.0005907423979440142, 
v: 0.31385591600399865, marker: Flat_top_site_8, dist: -0.0006856988393811465, 
v: 0.0365752527787022, marker: Flat_top_site_1, dist: -2.0795212189936906e-05, 
v: 0.013526064963054625, marker: Flat_top_site_2, dist: -0.00011868175707294196, 
v: 0.06346778514288635, marker: Flat_top_site_3, dist: -0.00021656830195594694, 
v: 0.11346085258141857, marker: Flat_top_site_4, dist: -0.00031445484683895197, 
v: 0.16345816096500415, marker: Flat_top_site_5, dist: -0.000412341391721957, 
v: 0.21345673028419607, marker: Flat_top_site_6, dist: -0.000510227936604962, 
v: 0.26345584264005006, marker: Flat_top_site_7, dist: -0.000608114481487967, 
v: 0.31345523817402965, marker: Flat_top_site_8, dist: -0.000706001026370972, 
v: 0.03695408795411286, marker: Flat_top_site_1, dist: -2.144805511946348e-05, 
v: 0.013154323093226396, marker: Flat_top_site_2, dist: -0.00012211201361491468, 
